ICRISAT_ac,Table_name,Mission_co,Collectors,Alternate_,Local_name,Species_nu,Cultivar_n,Biological,Donor_coop,Donor_coun,Date_recei,Date_of_co,Source_cou,Province,Location,Latitude,Longitude,Elevation,Genus,Species,Sauthor,Subsp
25504,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 71,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Ruyigi,Kiharo,-3.77,30.219999,1300,Sorghum,bicolor,(L.) Moench,bicolor
25505,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 72,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Ruyigi,Kiharo,-3.77,30.219999,1300,Sorghum,bicolor,(L.) Moench,bicolor
31564,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 100,Gatwe,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Bubanza,Mugongo,-3.73,29.51,0,Sorghum,bicolor,(L.) Moench,bicolor
31548,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 60,Mirishoyingoma,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Ruyigi,Munazi,-3.68,30.33,0,Sorghum,bicolor,(L.) Moench,bicolor
31541,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 39,Amahonda atukura,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Busebwa,-3.6,29.379999,0,Sorghum,bicolor,(L.) Moench,bicolor
31544,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 52,Amabogobogo,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Ruyigi,Nyarumuli,-3.6,30.280001,0,Sorghum,bicolor,(L.) Moench,bicolor
31545,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 53,Amaromo,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Ruyigi,Nyarumuli,-3.6,30.280001,0,Sorghum,bicolor,(L.) Moench,bicolor
31546,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 54,Amatanga,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Ruyigi,Nyarumuli,-3.6,30.280001,0,Sorghum,bicolor,(L.) Moench,bicolor
31549,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 62,Agatara,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Rugwe,-3.59,30.4,0,Sorghum,bicolor,(L.) Moench,bicolor
25524,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 103,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/27/1982,BDI,Bujumbura,Kabezi,-3.49,29.34,920,Sorghum,bicolor,(L.) Moench,bicolor
25488,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 26,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Gitega,,-3.42,29.93,1650,Sorghum,bicolor,(L.) Moench,bicolor
25489,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 27,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Gitega,,-3.42,29.93,1650,Sorghum,bicolor,(L.) Moench,bicolor
31552,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 75,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Mwiruzi,-3.4,30.459999,0,Sorghum,bicolor,(L.) Moench,bicolor
31547,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 57,Nangoma et amayogama,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Ruveri,-3.37,30.26,0,Sorghum,bicolor,(L.) Moench,bicolor
25522,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 98,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/27/1982,BDI,Bujumbura,Ruzeba,-3.34,29.4,820,Sorghum,bicolor,(L.) Moench,bicolor
25523,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 99,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/27/1982,BDI,Bujumbura,Ruzeba,-3.34,29.4,820,Sorghum,bicolor,(L.) Moench,bicolor
31543,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 48,Amabogobogo,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Muramvya,Kibimba,-3.3,29.799999,0,Sorghum,bicolor,(L.) Moench,bicolor
25520,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 93,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Kuruvumbu,-3.25,29.42,1100,Sorghum,bicolor,(L.) Moench,bicolor
25509,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 76,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mugerero 4N,-3.25,29.42,820,Sorghum,bicolor,(L.) Moench,bicolor
25510,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 78,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mugerero 4N,-3.25,29.42,820,Sorghum,bicolor,(L.) Moench,bicolor
25511,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 79,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mugerero 4N,-3.25,29.42,820,Sorghum,bicolor,(L.) Moench,bicolor
31542,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 43,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Muramvya,Buyaga,-3.23,29.73,0,Sorghum,bicolor,(L.) Moench,bicolor
25506,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 73,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mugerero,-3.21,30.09,820,Sorghum,bicolor,(L.) Moench,bicolor
25507,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 74,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mugerero,-3.21,30.09,820,Sorghum,bicolor,(L.) Moench,bicolor
25508,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 75,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mugerero,-3.21,30.09,820,Sorghum,bicolor,(L.) Moench,bicolor
25512,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 80,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mugerero,-3.21,30.09,820,Sorghum,bicolor,(L.) Moench,bicolor
31551,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 69,Urusare,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Ruhungere,-3.2,30.43,0,Sorghum,bicolor,(L.) Moench,bicolor
31526,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 1,Amalakira,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Village 4,-3.14,29.32,0,Sorghum,bicolor,(L.) Moench,bicolor
25517,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 88,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mitakataka,-3.13,29.370001,880,Sorghum,bicolor,(L.) Moench,bicolor
25518,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 89,,,3560,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mitakataka,-3.13,29.370001,880,Sorghum,bicolor,(L.) Moench,bicolor
25519,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 91,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Mitakataka,-3.13,29.370001,880,Sorghum,bicolor,(L.) Moench,bicolor
31527,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 5,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Village 3,-3.12,29.32,0,Sorghum,bicolor,(L.) Moench,bicolor
25513,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 81,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Bubanza,-3.1,29.389999,820,Sorghum,bicolor,(L.) Moench,bicolor
25514,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 84,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Bubanza,-3.1,29.389999,880,Sorghum,bicolor,(L.) Moench,bicolor
25515,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 85,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Bubanza,-3.1,29.389999,880,Sorghum,bicolor,(L.) Moench,bicolor
25516,ICRISATSOSORGHUM,ICRISAT-MISN-093,PK 86,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/26/1982,BDI,Bubanza,Bubanza,-3.1,29.389999,880,Sorghum,bicolor,(L.) Moench,bicolor
31529,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 8,,3565,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Village 1,-3.09,29.370001,0,Sorghum,bicolor,(L.) Moench,bicolor
31531,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 13,Agashari,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Cibitoke,Gasenyi,-2.96,29.190001,0,Sorghum,bicolor,(L.) Moench,bicolor
31532,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 14,Agashari,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Cibitoke,Gasenyi,-2.96,29.190001,0,Sorghum,bicolor,(L.) Moench,bicolor
31570,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 118,Rutendere,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Kayanza colline,-2.91,29.610001,0,Sorghum,bicolor,(L.) Moench,bicolor
25482,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 18,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Muyinga,Muyinga,-2.85,30.33,1500,Sorghum,bicolor,(L.) Moench,bicolor
25483,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 19,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Muyinga,Muyinga,-2.85,30.33,1520,Sorghum,bicolor,(L.) Moench,bicolor
25484,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 20,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Muyinga,Muyinga,-2.85,30.32,1520,Sorghum,bicolor,(L.) Moench,bicolor
25485,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 21,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Muyinga,Muyinga,-2.85,30.32,1520,Sorghum,bicolor,(L.) Moench,bicolor
25486,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 22,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Muyinga,Muyinga,-2.85,30.32,1520,Sorghum,bicolor,(L.) Moench,bicolor
25481,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 17,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Muyinga,Muyinga 12SE,-2.85,30.32,1600,Sorghum,bicolor,(L.) Moench,bicolor
25487,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 24,SVR 8 S. vulgare,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Muyinga,Rugoto,-2.83,30.35,1350,Sorghum,bicolor,(L.) Moench,bicolor
31534,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 17,Agashari,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Cibitoke,Rugombo,-2.79,29.08,0,Sorghum,bicolor,(L.) Moench,bicolor
31535,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 18,Amashirahamwe,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Cibitoke,Rugombo,-2.79,29.08,0,Sorghum,bicolor,(L.) Moench,bicolor
31536,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 23,Amebo,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Cibitoke,Rugombo; Mugina,-2.79,29.08,0,Sorghum,bicolor,(L.) Moench,bicolor
31530,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 11,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Kirundo,Kayanga; Vumbi-Bukuba,-2.75,30.129999,0,Sorghum,bicolor,(L.) Moench,bicolor
25479,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 14,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muyinga,Kirondo 14SE,-2.72,30.09,1390,Sorghum,bicolor,(L.) Moench,bicolor
25477,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 10,,Ammahoyira,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muyinga,Kirondo 1SE,-2.72,30.09,1400,Sorghum,bicolor,(L.) Moench,bicolor
25476,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 8,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muyinga,Kirondo 20S,-2.72,30.09,1580,Sorghum,bicolor,(L.) Moench,bicolor
25473,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 5,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muyinga,Kirondo 22S,-2.72,30.09,1500,Sorghum,bicolor,(L.) Moench,bicolor
25474,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 6,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muyinga,Kirondo 22S,-2.72,30.09,1500,Sorghum,bicolor,(L.) Moench,bicolor
25475,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 7,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muyinga,Kirondo 22S,-2.72,30.09,1500,Sorghum,bicolor,(L.) Moench,bicolor
25480,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 16,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muyinga,Kirondo 26SE,-2.72,30.09,1650,Sorghum,bicolor,(L.) Moench,bicolor
25478,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 12,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muyinga,Kirondo 2SE,-2.72,30.09,1400,Sorghum,bicolor,(L.) Moench,bicolor
