TYPE,SCALE,VAR,P,SEED
s,seasonal,tmean,NA,2142
s,seasonal,tmean,NA,2160
s,seasonal,tmean,NA,2172
s,seasonal,tmean,NA,2173
s,seasonal,tmean,NA,2183
s,seasonal,tmean,NA,2188
s,seasonal,tmean,NA,2197
s,seasonal,tmean,NA,2198
s,seasonal,tmean,NA,2199
s,seasonal,tmean,NA,2206
s,seasonal,tmean,NA,2213
s,seasonal,tmean,NA,2215
s,seasonal,tmean,NA,2219
s,seasonal,tmean,NA,2226
s,seasonal,tmean,NA,2227
s,seasonal,tmean,NA,2232
s,seasonal,tmean,NA,2233
s,seasonal,tmean,NA,2237
s,seasonal,tmean,NA,2241
s,seasonal,tmean,NA,2246
s,seasonal,tmean,NA,2255
s,seasonal,tmean,NA,2257
s,seasonal,tmean,NA,2272
s,seasonal,tmean,NA,2290
s,seasonal,tmean,NA,2299
s,seasonal,tmean,NA,2305
s,seasonal,tmean,NA,231
s,seasonal,tmean,NA,2316
s,seasonal,tmean,NA,232
s,seasonal,tmean,NA,2341
s,seasonal,tmean,NA,2345
s,seasonal,tmean,NA,2347
s,seasonal,tmean,NA,2356
s,seasonal,tmean,NA,2359
s,seasonal,tmean,NA,2372
s,seasonal,tmean,NA,238
s,seasonal,tmean,NA,2400
s,seasonal,tmean,NA,2403
s,seasonal,tmean,NA,241
s,seasonal,tmean,NA,2416
s,seasonal,tmean,NA,2426
s,seasonal,tmean,NA,2427
s,seasonal,tmean,NA,2441
s,seasonal,tmean,NA,2468
s,seasonal,tmean,NA,2469
s,seasonal,tmean,NA,247
s,seasonal,tmean,NA,2476
s,seasonal,tmean,NA,2537
s,seasonal,tmean,NA,2543
s,seasonal,tmean,NA,2557
s,seasonal,tmean,NA,2571
s,seasonal,tmean,NA,2575
s,seasonal,tmean,NA,2579
s,seasonal,tmean,NA,2583
s,seasonal,tmean,NA,2585
s,seasonal,tmean,NA,2592
s,seasonal,tmean,NA,2612
s,seasonal,tmean,NA,2614
s,seasonal,tmean,NA,2623
s,seasonal,tmean,NA,2625
s,seasonal,tmean,NA,2647
s,seasonal,tmean,NA,2648
s,seasonal,tmean,NA,2661
s,seasonal,tmean,NA,2662
s,seasonal,tmean,NA,2666
s,seasonal,tmean,NA,2676
s,seasonal,tmean,NA,2680
s,seasonal,tmean,NA,269
s,seasonal,tmean,NA,2693
s,seasonal,tmean,NA,2697
s,seasonal,tmean,NA,27
s,seasonal,tmean,NA,2701
s,seasonal,tmean,NA,2704
s,seasonal,tmean,NA,2711
s,seasonal,tmean,NA,2712
s,seasonal,tmean,NA,2715
s,seasonal,tmean,NA,2722
s,seasonal,tmean,NA,2739
s,seasonal,tmean,NA,2749
s,seasonal,tmean,NA,2763
s,seasonal,tmean,NA,278
s,seasonal,tmean,NA,2787
s,seasonal,tmean,NA,2788
s,seasonal,tmean,NA,2812
s,seasonal,tmean,NA,2817
s,seasonal,tmean,NA,2826
s,seasonal,tmean,NA,2828
s,seasonal,tmean,NA,2853
s,seasonal,tmean,NA,2856
s,seasonal,tmean,NA,2881
s,seasonal,tmean,NA,2885
s,seasonal,tmean,NA,2907
s,seasonal,tmean,NA,2909
s,seasonal,tmean,NA,291
s,seasonal,tmean,NA,2911
s,seasonal,tmean,NA,2914
s,seasonal,tmean,NA,292
s,seasonal,tmean,NA,2931
s,seasonal,tmean,NA,2938
s,seasonal,tmean,NA,2961
s,seasonal,tmean,NA,2972
s,seasonal,tmean,NA,2979
s,seasonal,tmean,NA,2984
s,seasonal,tmean,NA,3007
s,seasonal,tmean,NA,3014
s,seasonal,tmean,NA,3031
s,seasonal,tmean,NA,3043
s,seasonal,tmean,NA,3048
s,seasonal,tmean,NA,3050
s,seasonal,tmean,NA,3051
s,seasonal,tmean,NA,3075
s,seasonal,tmean,NA,3080
s,seasonal,tmean,NA,3087
s,seasonal,tmean,NA,3089
s,seasonal,tmean,NA,309
s,seasonal,tmean,NA,3090
s,seasonal,tmean,NA,3099
s,seasonal,tmean,NA,3107
s,seasonal,tmean,NA,3112
s,seasonal,tmean,NA,3113
s,seasonal,tmean,NA,3115
s,seasonal,tmean,NA,313
s,seasonal,tmean,NA,3133
s,seasonal,tmean,NA,3137
s,seasonal,tmean,NA,3150
s,seasonal,tmean,NA,3157
s,seasonal,tmean,NA,3165
s,seasonal,tmean,NA,3177
s,seasonal,tmean,NA,32
s,seasonal,tmean,NA,3202
s,seasonal,tmean,NA,3208
s,seasonal,tmean,NA,321
s,seasonal,tmean,NA,3211
s,seasonal,tmean,NA,3212
s,seasonal,tmean,NA,3218
s,seasonal,tmean,NA,322
s,seasonal,tmean,NA,3221
s,seasonal,tmean,NA,3226
s,seasonal,tmean,NA,324
s,seasonal,tmean,NA,3241
s,seasonal,tmean,NA,3242
s,seasonal,tmean,NA,3246
s,seasonal,tmean,NA,3266
s,seasonal,tmean,NA,3273
s,seasonal,tmean,NA,3275
s,seasonal,tmean,NA,3283
s,seasonal,tmean,NA,3290
s,seasonal,tmean,NA,3296
s,seasonal,tmean,NA,3306
s,seasonal,tmean,NA,3315
s,seasonal,tmean,NA,3332
s,seasonal,tmean,NA,3337
s,seasonal,tmean,NA,3345
s,seasonal,tmean,NA,3347
s,seasonal,tmean,NA,3353
s,seasonal,tmean,NA,3356
s,seasonal,tmean,NA,3362
s,seasonal,tmean,NA,3364
s,seasonal,tmean,NA,3368
s,seasonal,tmean,NA,337
s,seasonal,tmean,NA,3371
s,seasonal,tmean,NA,3376
s,seasonal,tmean,NA,3379
s,seasonal,tmean,NA,3383
s,seasonal,tmean,NA,3397
s,seasonal,tmean,NA,3398
s,seasonal,tmean,NA,340
s,seasonal,tmean,NA,3410
s,seasonal,tmean,NA,3420
s,seasonal,tmean,NA,3436
s,seasonal,tmean,NA,3437
s,seasonal,tmean,NA,3438
s,seasonal,tmean,NA,3454
s,seasonal,tmean,NA,3463
s,seasonal,tmean,NA,3465
s,seasonal,tmean,NA,3471
s,seasonal,tmean,NA,3472
s,seasonal,tmean,NA,3473
s,seasonal,tmean,NA,3487
s,seasonal,tmean,NA,3500
s,seasonal,tmean,NA,3512
s,seasonal,tmean,NA,3514
s,seasonal,tmean,NA,3528
s,seasonal,tmean,NA,3532
s,seasonal,tmean,NA,3544
s,seasonal,tmean,NA,3551
s,seasonal,tmean,NA,357
s,seasonal,tmean,NA,3574
s,seasonal,tmean,NA,358
s,seasonal,tmean,NA,3582
s,seasonal,tmean,NA,3640
s,seasonal,tmean,NA,3643
s,seasonal,tmean,NA,3658
s,seasonal,tmean,NA,367
s,seasonal,tmean,NA,368
s,seasonal,tmean,NA,3721
s,seasonal,tmean,NA,3724
s,seasonal,tmean,NA,3728
s,seasonal,tmean,NA,373
s,seasonal,tmean,NA,3731
s,seasonal,tmean,NA,3746
s,seasonal,tmean,NA,3771
s,seasonal,tmean,NA,3780
s,seasonal,tmean,NA,3796
s,seasonal,tmean,NA,380
s,seasonal,tmean,NA,3801
s,seasonal,tmean,NA,3836
s,seasonal,tmean,NA,3849
s,seasonal,tmean,NA,3854
s,seasonal,tmean,NA,3855
s,seasonal,tmean,NA,3866
s,seasonal,tmean,NA,387
s,seasonal,tmean,NA,3877
s,seasonal,tmean,NA,3880
s,seasonal,tmean,NA,3889
s,seasonal,tmean,NA,3894
s,seasonal,tmean,NA,3895
s,seasonal,tmean,NA,391
s,seasonal,tmean,NA,3912
s,seasonal,tmean,NA,3913
s,seasonal,tmean,NA,3936
s,seasonal,tmean,NA,3940
s,seasonal,tmean,NA,3956
s,seasonal,tmean,NA,3958
s,seasonal,tmean,NA,3965
s,seasonal,tmean,NA,4015
s,seasonal,tmean,NA,4020
s,seasonal,tmean,NA,4033
s,seasonal,tmean,NA,4038
s,seasonal,tmean,NA,4045
s,seasonal,tmean,NA,4047
s,seasonal,tmean,NA,4052
s,seasonal,tmean,NA,4055
s,seasonal,tmean,NA,4077
s,seasonal,tmean,NA,4082
s,seasonal,tmean,NA,4084
s,seasonal,tmean,NA,4088
s,seasonal,tmean,NA,410
s,seasonal,tmean,NA,4100
s,seasonal,tmean,NA,4101
s,seasonal,tmean,NA,4106
s,seasonal,tmean,NA,4108
s,seasonal,tmean,NA,4114
s,seasonal,tmean,NA,4119
s,seasonal,tmean,NA,4128
s,seasonal,tmean,NA,413
s,seasonal,tmean,NA,4131
s,seasonal,tmean,NA,4138
s,seasonal,tmean,NA,4142
s,seasonal,tmean,NA,4152
s,seasonal,tmean,NA,4158
s,seasonal,tmean,NA,416
s,seasonal,tmean,NA,4167
s,seasonal,tmean,NA,4176
s,seasonal,tmean,NA,4186
s,seasonal,tmean,NA,4187
s,seasonal,tmean,NA,4190
s,seasonal,tmean,NA,4191
s,seasonal,tmean,NA,4205
s,seasonal,tmean,NA,4227
s,seasonal,tmean,NA,4241
s,seasonal,tmean,NA,4277
s,seasonal,tmean,NA,4296
s,seasonal,tmean,NA,4302
s,seasonal,tmean,NA,4304
s,seasonal,tmean,NA,4308
s,seasonal,tmean,NA,4315
s,seasonal,tmean,NA,4319
s,seasonal,tmean,NA,4320
s,seasonal,tmean,NA,4322
s,seasonal,tmean,NA,433
s,seasonal,tmean,NA,4331
s,seasonal,tmean,NA,434
s,seasonal,tmean,NA,4347
s,seasonal,tmean,NA,4348
s,seasonal,tmean,NA,4352
s,seasonal,tmean,NA,4353
s,seasonal,tmean,NA,4373
s,seasonal,tmean,NA,4377
s,seasonal,tmean,NA,4380
s,seasonal,tmean,NA,4386
s,seasonal,tmean,NA,4395
s,seasonal,tmean,NA,4398
s,seasonal,tmean,NA,4403
s,seasonal,tmean,NA,4405
s,seasonal,tmean,NA,4410
s,seasonal,tmean,NA,4419
s,seasonal,tmean,NA,4442
s,seasonal,tmean,NA,4461
s,seasonal,tmean,NA,450
s,seasonal,tmean,NA,4514
s,seasonal,tmean,NA,4523
s,seasonal,tmean,NA,4530
s,seasonal,tmean,NA,4532
s,seasonal,tmean,NA,4533
s,seasonal,tmean,NA,4537
s,seasonal,tmean,NA,4539
s,seasonal,tmean,NA,4540
s,seasonal,tmean,NA,4545
s,seasonal,tmean,NA,4546
s,seasonal,tmean,NA,4563
s,seasonal,tmean,NA,4575
s,seasonal,tmean,NA,4586
s,seasonal,tmean,NA,4590
s,seasonal,tmean,NA,4592
s,seasonal,tmean,NA,4596
s,seasonal,tmean,NA,4598
s,seasonal,tmean,NA,4599
s,seasonal,tmean,NA,4600
s,seasonal,tmean,NA,4638
s,seasonal,tmean,NA,4666
s,seasonal,tmean,NA,4667
s,seasonal,tmean,NA,4680
s,seasonal,tmean,NA,472
s,seasonal,tmean,NA,4724
s,seasonal,tmean,NA,4738
s,seasonal,tmean,NA,4740
s,seasonal,tmean,NA,4745
s,seasonal,tmean,NA,4777
s,seasonal,tmean,NA,4785
s,seasonal,tmean,NA,4796
s,seasonal,tmean,NA,4799
s,seasonal,tmean,NA,48
s,seasonal,tmean,NA,4801
s,seasonal,tmean,NA,4806
s,seasonal,tmean,NA,4819
s,seasonal,tmean,NA,4822
s,seasonal,tmean,NA,4825
s,seasonal,tmean,NA,4836
s,seasonal,tmean,NA,4873
s,seasonal,tmean,NA,4912
s,seasonal,tmean,NA,4933
s,seasonal,tmean,NA,4935
s,seasonal,tmean,NA,4938
s,seasonal,tmean,NA,4941
s,seasonal,tmean,NA,4955
s,seasonal,tmean,NA,4960
s,seasonal,tmean,NA,4967
s,seasonal,tmean,NA,4975
s,seasonal,tmean,NA,4977
s,seasonal,tmean,NA,4981
s,seasonal,tmean,NA,4989
s,seasonal,tmean,NA,499
s,seasonal,tmean,NA,4991
s,seasonal,tmean,NA,4994
s,seasonal,tmean,NA,4995
s,seasonal,tmean,NA,5011
s,seasonal,tmean,NA,5025
s,seasonal,tmean,NA,5030
s,seasonal,tmean,NA,504
s,seasonal,tmean,NA,5059
s,seasonal,tmean,NA,5077
s,seasonal,tmean,NA,5079
s,seasonal,tmean,NA,5084
s,seasonal,tmean,NA,5086
s,seasonal,tmean,NA,509
s,seasonal,tmean,NA,5090
s,seasonal,tmean,NA,5092
s,seasonal,tmean,NA,5097
s,seasonal,tmean,NA,5098
s,seasonal,tmean,NA,5108
s,seasonal,tmean,NA,511
s,seasonal,tmean,NA,5119
s,seasonal,tmean,NA,5131
s,seasonal,tmean,NA,5136
s,seasonal,tmean,NA,5144
s,seasonal,tmean,NA,5160
s,seasonal,tmean,NA,5180
s,seasonal,tmean,NA,5185
s,seasonal,tmean,NA,5198
s,seasonal,tmean,NA,520
s,seasonal,tmean,NA,5204
s,seasonal,tmean,NA,5211
s,seasonal,tmean,NA,5212
s,seasonal,tmean,NA,5215
s,seasonal,tmean,NA,5220
s,seasonal,tmean,NA,5226
s,seasonal,tmean,NA,5235
s,seasonal,tmean,NA,5251
s,seasonal,tmean,NA,5261
s,seasonal,tmean,NA,5275
s,seasonal,tmean,NA,5277
s,seasonal,tmean,NA,5280
s,seasonal,tmean,NA,5281
s,seasonal,tmean,NA,5287
s,seasonal,tmean,NA,5288
s,seasonal,tmean,NA,5294
s,seasonal,tmean,NA,5300
s,seasonal,tmean,NA,5314
s,seasonal,tmean,NA,5347
s,seasonal,tmean,NA,5363
s,seasonal,tmean,NA,5374
s,seasonal,tmean,NA,5380
s,seasonal,tmean,NA,5388
s,seasonal,tmean,NA,540
s,seasonal,tmean,NA,5416
s,seasonal,tmean,NA,5419
s,seasonal,tmean,NA,5427
s,seasonal,tmean,NA,5429
s,seasonal,tmean,NA,5461
s,seasonal,tmean,NA,5485
s,seasonal,tmean,NA,550
s,seasonal,tmean,NA,5500
s,seasonal,tmean,NA,5510
s,seasonal,tmean,NA,5515
s,seasonal,tmean,NA,5527
s,seasonal,tmean,NA,5535
s,seasonal,tmean,NA,5555
s,seasonal,tmean,NA,5560
s,seasonal,tmean,NA,5584
s,seasonal,tmean,NA,5587
s,seasonal,tmean,NA,5609
s,seasonal,tmean,NA,5612
s,seasonal,tmean,NA,5613
s,seasonal,tmean,NA,5614
s,seasonal,tmean,NA,5622
s,seasonal,tmean,NA,563
s,seasonal,tmean,NA,5630
s,seasonal,tmean,NA,5647
s,seasonal,tmean,NA,5660
s,seasonal,tmean,NA,568
s,seasonal,tmean,NA,5686
s,seasonal,tmean,NA,5694
s,seasonal,tmean,NA,57
s,seasonal,tmean,NA,5723
s,seasonal,tmean,NA,5734
s,seasonal,tmean,NA,5760
s,seasonal,tmean,NA,5762
s,seasonal,tmean,NA,5763
s,seasonal,tmean,NA,5773
s,seasonal,tmean,NA,5792
s,seasonal,tmean,NA,58
s,seasonal,tmean,NA,5824
s,seasonal,tmean,NA,5826
s,seasonal,tmean,NA,5841
s,seasonal,tmean,NA,5844
s,seasonal,tmean,NA,5845
s,seasonal,tmean,NA,5866
s,seasonal,tmean,NA,5881
s,seasonal,tmean,NA,5896
s,seasonal,tmean,NA,5910
s,seasonal,tmean,NA,5920
s,seasonal,tmean,NA,5938
s,seasonal,tmean,NA,5950
s,seasonal,tmean,NA,5961
s,seasonal,tmean,NA,5982
s,seasonal,tmean,NA,5988
s,seasonal,tmean,NA,5990
s,seasonal,tmean,NA,6012
s,seasonal,tmean,NA,6013
s,seasonal,tmean,NA,6021
s,seasonal,tmean,NA,6044
s,seasonal,tmean,NA,605
s,seasonal,tmean,NA,6057
s,seasonal,tmean,NA,606
s,seasonal,tmean,NA,6061
s,seasonal,tmean,NA,6086
s,seasonal,tmean,NA,6091
s,seasonal,tmean,NA,6120
s,seasonal,tmean,NA,6122
s,seasonal,tmean,NA,6140
s,seasonal,tmean,NA,6148
s,seasonal,tmean,NA,6163
s,seasonal,tmean,NA,6172
s,seasonal,tmean,NA,6188
s,seasonal,tmean,NA,6190
s,seasonal,tmean,NA,6198
s,seasonal,tmean,NA,6205
s,seasonal,tmean,NA,621
s,seasonal,tmean,NA,6245
s,seasonal,tmean,NA,6249
s,seasonal,tmean,NA,6251
s,seasonal,tmean,NA,6259
s,seasonal,tmean,NA,6262
s,seasonal,tmean,NA,6274
s,seasonal,tmean,NA,6294
s,seasonal,tmean,NA,6301
s,seasonal,tmean,NA,6304
s,seasonal,tmean,NA,6305
s,seasonal,tmean,NA,6306
s,seasonal,tmean,NA,6308
s,seasonal,tmean,NA,6309
s,seasonal,tmean,NA,632
s,seasonal,tmean,NA,6327
s,seasonal,tmean,NA,6330
s,seasonal,tmean,NA,6340
s,seasonal,tmean,NA,6343
s,seasonal,tmean,NA,6347
s,seasonal,tmean,NA,6348
s,seasonal,tmean,NA,6353
s,seasonal,tmean,NA,6355
s,seasonal,tmean,NA,6364
s,seasonal,tmean,NA,6383
s,seasonal,tmean,NA,64
s,seasonal,tmean,NA,6400
s,seasonal,tmean,NA,6409
s,seasonal,tmean,NA,641
s,seasonal,tmean,NA,6413
s,seasonal,tmean,NA,6421
s,seasonal,tmean,NA,6435
s,seasonal,tmean,NA,6441
s,seasonal,tmean,NA,6455
s,seasonal,tmean,NA,6463
s,seasonal,tmean,NA,6467
s,seasonal,tmean,NA,6469
s,seasonal,tmean,NA,6470
s,seasonal,tmean,NA,6472
s,seasonal,tmean,NA,6475
s,seasonal,tmean,NA,6477
s,seasonal,tmean,NA,6498
s,seasonal,tmean,NA,6500
s,seasonal,tmean,NA,651
s,seasonal,tmean,NA,6542
s,seasonal,tmean,NA,6543
s,seasonal,tmean,NA,6544
s,seasonal,tmean,NA,6547
s,seasonal,tmean,NA,6561
s,seasonal,tmean,NA,6567
s,seasonal,tmean,NA,6573
s,seasonal,tmean,NA,6588
s,seasonal,tmean,NA,6592
s,seasonal,tmean,NA,6604
s,seasonal,tmean,NA,6605
s,seasonal,tmean,NA,6611
s,seasonal,tmean,NA,6614
s,seasonal,tmean,NA,6618
s,seasonal,tmean,NA,662
s,seasonal,tmean,NA,6620
s,seasonal,tmean,NA,6637
s,seasonal,tmean,NA,6642
s,seasonal,tmean,NA,6657
s,seasonal,tmean,NA,6661
s,seasonal,tmean,NA,6670
s,seasonal,tmean,NA,6679
s,seasonal,tmean,NA,668
s,seasonal,tmean,NA,672
s,seasonal,tmean,NA,6743
s,seasonal,tmean,NA,6744
s,seasonal,tmean,NA,6752
s,seasonal,tmean,NA,6759
s,seasonal,tmean,NA,6763
s,seasonal,tmean,NA,6784
s,seasonal,tmean,NA,6786
s,seasonal,tmean,NA,6791
s,seasonal,tmean,NA,6810
s,seasonal,tmean,NA,6825
s,seasonal,tmean,NA,6826
s,seasonal,tmean,NA,6837
s,seasonal,tmean,NA,6839
s,seasonal,tmean,NA,684
s,seasonal,tmean,NA,6851
s,seasonal,tmean,NA,6852
s,seasonal,tmean,NA,6859
s,seasonal,tmean,NA,6886
s,seasonal,tmean,NA,6901
s,seasonal,tmean,NA,6905
s,seasonal,tmean,NA,6907
s,seasonal,tmean,NA,6927
s,seasonal,tmean,NA,6932
s,seasonal,tmean,NA,6934
s,seasonal,tmean,NA,6941
s,seasonal,tmean,NA,6948
s,seasonal,tmean,NA,6949
s,seasonal,tmean,NA,6967
s,seasonal,tmean,NA,6968
s,seasonal,tmean,NA,6978
s,seasonal,tmean,NA,6985
s,seasonal,tmean,NA,7004
s,seasonal,tmean,NA,703
s,seasonal,tmean,NA,7038
s,seasonal,tmean,NA,7054
s,seasonal,tmean,NA,7076
s,seasonal,tmean,NA,7078
s,seasonal,tmean,NA,7088
s,seasonal,tmean,NA,7099
s,seasonal,tmean,NA,71
s,seasonal,tmean,NA,7103
s,seasonal,tmean,NA,7119
s,seasonal,tmean,NA,7121
s,seasonal,tmean,NA,7137
s,seasonal,tmean,NA,7142
s,seasonal,tmean,NA,7158
s,seasonal,tmean,NA,7160
s,seasonal,tmean,NA,7165
s,seasonal,tmean,NA,7174
s,seasonal,tmean,NA,7183
s,seasonal,tmean,NA,7199
s,seasonal,tmean,NA,721
s,seasonal,tmean,NA,7222
s,seasonal,tmean,NA,7227
s,seasonal,tmean,NA,7238
s,seasonal,tmean,NA,7240
s,seasonal,tmean,NA,7267
s,seasonal,tmean,NA,7272
s,seasonal,tmean,NA,7273
s,seasonal,tmean,NA,730
s,seasonal,tmean,NA,7316
s,seasonal,tmean,NA,7318
s,seasonal,tmean,NA,7328
s,seasonal,tmean,NA,7331
s,seasonal,tmean,NA,7347
s,seasonal,tmean,NA,7357
s,seasonal,tmean,NA,7362
s,seasonal,tmean,NA,7363
s,seasonal,tmean,NA,7375
s,seasonal,tmean,NA,7390
s,seasonal,tmean,NA,7402
s,seasonal,tmean,NA,7403
s,seasonal,tmean,NA,7424
s,seasonal,tmean,NA,7434
s,seasonal,tmean,NA,7436
s,seasonal,tmean,NA,7441
s,seasonal,tmean,NA,7451
s,seasonal,tmean,NA,7465
s,seasonal,tmean,NA,7482
s,seasonal,tmean,NA,7485
s,seasonal,tmean,NA,7494
s,seasonal,tmean,NA,7501
s,seasonal,tmean,NA,7503
s,seasonal,tmean,NA,7518
s,seasonal,tmean,NA,752
s,seasonal,tmean,NA,7520
s,seasonal,tmean,NA,7532
s,seasonal,tmean,NA,7533
s,seasonal,tmean,NA,754
s,seasonal,tmean,NA,7543
s,seasonal,tmean,NA,7551
s,seasonal,tmean,NA,7579
s,seasonal,tmean,NA,7580
s,seasonal,tmean,NA,7586
s,seasonal,tmean,NA,7605
s,seasonal,tmean,NA,763
s,seasonal,tmean,NA,7646
s,seasonal,tmean,NA,765
s,seasonal,tmean,NA,7660
s,seasonal,tmean,NA,7674
s,seasonal,tmean,NA,7679
s,seasonal,tmean,NA,7680
s,seasonal,tmean,NA,7691
s,seasonal,tmean,NA,7695
s,seasonal,tmean,NA,7698
s,seasonal,tmean,NA,7699
s,seasonal,tmean,NA,7728
s,seasonal,tmean,NA,7745
s,seasonal,tmean,NA,7760
s,seasonal,tmean,NA,7764
s,seasonal,tmean,NA,7778
s,seasonal,tmean,NA,7785
s,seasonal,tmean,NA,78
s,seasonal,tmean,NA,7800
s,seasonal,tmean,NA,7804
s,seasonal,tmean,NA,7846
s,seasonal,tmean,NA,7858
s,seasonal,tmean,NA,7871
s,seasonal,tmean,NA,7878
s,seasonal,tmean,NA,7891
s,seasonal,tmean,NA,7906
s,seasonal,tmean,NA,7945
s,seasonal,tmean,NA,7948
s,seasonal,tmean,NA,7960
s,seasonal,tmean,NA,7973
s,seasonal,tmean,NA,7981
s,seasonal,tmean,NA,799
s,seasonal,tmean,NA,800
s,seasonal,tmean,NA,8002
s,seasonal,tmean,NA,8012
s,seasonal,tmean,NA,8040
s,seasonal,tmean,NA,8046
s,seasonal,tmean,NA,8055
s,seasonal,tmean,NA,8058
s,seasonal,tmean,NA,8064
s,seasonal,tmean,NA,8077
s,seasonal,tmean,NA,8080
s,seasonal,tmean,NA,8086
s,seasonal,tmean,NA,8105
s,seasonal,tmean,NA,8140
s,seasonal,tmean,NA,8148
s,seasonal,tmean,NA,8170
s,seasonal,tmean,NA,8181
s,seasonal,tmean,NA,8183
s,seasonal,tmean,NA,8198
s,seasonal,tmean,NA,8230
s,seasonal,tmean,NA,824
s,seasonal,tmean,NA,8242
s,seasonal,tmean,NA,8252
s,seasonal,tmean,NA,8255
s,seasonal,tmean,NA,8289
s,seasonal,tmean,NA,8297
s,seasonal,tmean,NA,83
s,seasonal,tmean,NA,830
s,seasonal,tmean,NA,832
s,seasonal,tmean,NA,8324
s,seasonal,tmean,NA,8328
s,seasonal,tmean,NA,8338
s,seasonal,tmean,NA,8347
s,seasonal,tmean,NA,835
s,seasonal,tmean,NA,8360
s,seasonal,tmean,NA,8366
s,seasonal,tmean,NA,8372
s,seasonal,tmean,NA,8376
s,seasonal,tmean,NA,838
s,seasonal,tmean,NA,8391
s,seasonal,tmean,NA,8399
s,seasonal,tmean,NA,84
s,seasonal,tmean,NA,8411
